ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
ijc,1,40,0.995712284,0.004019178,0.000237045,2.72e-05,4.25e-06,2.05e-08,5.35e-10
ije,1,40,0.898374248,0.08399574,0.013547218,0.00309935,0.000964977,1.74e-05,1.06e-06
ijj,1,40,0.937265452,0.053725191,0.007173203,0.001439417,0.000390958,5.5e-06,2.83e-07
ijn,1,40,0.987997437,0.011001997,0.000858773,0.000119265,2.24e-05,1.55e-07,5.1e-09
ijs,1,40,0.969858379,0.026795001,0.002772669,0.000466812,0.000106028,1.07e-06,4.42e-08
ike,1,40,0.857598361,0.113855817,0.021250719,0.005383769,0.001867629,4.09e-05,2.82e-06
iki,1,40,0.535960068,0.286108782,0.106206182,0.043857708,0.02624614,0.001436005,0.000185114
ikk,1,40,0.917815245,0.069095124,0.010228868,0.002204827,0.00064496,1.04e-05,5.85e-07
ikl,1,40,0.927969578,0.061130914,0.008598432,0.001788769,0.000504304,7.59e-06,4.09e-07
iko,1,40,0.920761059,0.066797835,0.009748267,0.002080468,0.00060232,9.52e-06,5.29e-07
ikp,1,40,0.857927797,0.113621852,0.021184788,0.005363119,0.001859003,4.06e-05,2.8e-06
ikt,1,40,0.234874989,0.308972368,0.198279693,0.122197929,0.119115588,0.013554998,0.003004435
ikv,1,40,0.810295596,0.146256371,0.031280226,0.008719866,0.003353151,8.8e-05,6.83e-06
ikw,1,40,0.987482164,0.011461325,0.000905555,0.000126805,2.4e-05,1.69e-07,5.61e-09
ikx,1,40,0.70212798,0.211517063,0.057856437,0.019196602,0.008944802,0.000325541,3.16e-05
ikz,1,40,0.902673459,0.080738816,0.012792216,0.002890582,0.000888337,1.57e-05,9.34e-07
ila,2,40,0.759167085,0.178642534,0.043263218,0.013166411,0.005573302,0.000172472,1.5e-05
ilb,1,40,0.908881934,0.075997538,0.01172279,0.002600037,0.000783594,1.33e-05,7.77e-07
ilg,7,40,0,0,0,0,0,0,1
ili,4,40,0,0,0,0,0,0,1
ilk,2,40,0.689633769,0.218249043,0.061209335,0.020673877,0.009827487,0.000369791,3.67e-05
ilo,1,40,0.995671846,0.004056412,0.000239822,2.76e-05,4.31e-06,2.09e-08,5.45e-10
ilu,1,40,0.398376308,0.319135292,0.150116904,0.073614349,0.054040975,0.004058545,0.000657626
ilv,4,40,0,0,0,0,0,0,1
ima,1,40,0.423132726,0.315498597,0.142153104,0.067554742,0.047749616,0.003385326,0.000525889
imi,1,40,0.794232545,0.156725302,0.034924389,0.01002162,0.00397709,0.000110176,8.88e-06
imn,1,40,0.501036453,0.297277831,0.117182109,0.050536489,0.031822875,0.001886695,0.000257548
imo,1,40,0.986941829,0.011942193,0.000955197,0.000134878,2.57e-05,1.85e-07,6.18e-09
imr,3,40,0.257095601,0.314599591,0.192689222,0.114719554,0.107035089,0.011443679,0.002417264
